,0,Cluster
290,720575940605856689,2
291,720575940605876866,5
292,720575940605891506,12
293,720575940605912032,0
294,720575940605924994,2
295,720575940605937097,6
296,720575940605938633,1
297,720575940605945778,9
298,720575940605948076,0
299,720575940605950496,2
300,720575940605960626,1
301,720575940605974188,0
302,720575940606010057,3
303,720575940606015154,4
304,720575940606018690,17
305,720575940606028210,1
306,720575940606039241,0
307,720575940606042814,3
308,720575940606046892,1
309,720575940606047874,13
310,720575940606059977,26
311,720575940606077570,8
312,720575940606083529,8
313,720575940606084444,5
314,720575940606112940,11
315,720575940606133932,19
316,720575940606134444,8
317,720575940606141374,16
318,720575940606149321,20
319,720575940606162306,26
320,720575940606165378,4
321,720575940606170754,0
322,720575940606179686,1
323,720575940606182758,1
324,720575940606185090,5
325,720575940606185858,0
326,720575940606218528,6
327,720575940606222014,2
328,720575940606224318,4
329,720575940606228233,8
330,720575940606229513,2
331,720575940606242592,2
332,720575940606246334,17
333,720575940606266726,20
334,720575940606301874,4
335,720575940606306737,28
336,720575940606308286,4
337,720575940606319794,3
338,720575940606342089,2
339,720575940606345760,31
340,720575940606354633,1
341,720575940606366850,0
342,720575940606370517,14
343,720575940606391218,4
344,720575940606414526,2
345,720575940606421122,14
346,720575940606425522,9
347,720575940606431921,4
348,720575940606432177,0
349,720575940606433410,3
350,720575940606441941,4
351,720575940606461216,2
352,720575940606482524,13
353,720575940606504370,0
354,720575940606515292,0
355,720575940606528130,0
356,720575940606548326,6
357,720575940606564482,3
358,720575940606573490,3
359,720575940606574091,14
360,720575940606596619,11
361,720575940606605745,9
362,720575940606607234,3
363,720575940606609696,25
364,720575940606610976,10
365,720575940606611977,0
366,720575940606613771,20
367,720575940606615388,7
368,720575940606624725,17
369,720575940606626994,8
370,720575940606627762,27
371,720575940606628530,8
372,720575940606632114,1
373,720575940606636210,5
374,720575940606646194,8
375,720575940606648608,0
376,720575940606650400,1
377,720575940606651936,14
378,720575940606659970,17
379,720575940606664894,3
380,720575940606667622,2
381,720575940606677340,2
382,720575940606680450,9
383,720575940606683915,22
384,720575940606684774,7
385,720575940606685129,17
386,720575940606691932,1
387,720575940606693297,16
388,720575940606693577,12
389,720575940606697858,15
390,720575940606698697,1
391,720575940606722662,14
392,720575940606726834,2
393,720575940606737842,6
394,720575940606738441,12
395,720575940606742193,8
396,720575940606756309,4
397,720575940606764734,9
398,720575940606765579,21
399,720575940606769854,1
400,720575940606774118,0
401,720575940606776962,0
402,720575940606819849,0
403,720575940606833794,0
404,720575940606851714,1
405,720575940606852018,4
406,720575940606855881,11
407,720575940606861442,1
408,720575940606864561,22
409,720575940606864905,30
410,720575940606865330,22
411,720575940606870283,20
412,720575940606870961,9
413,720575940606871819,1
414,720575940606873522,2
415,720575940606878386,4
416,720575940606879153,21
417,720575940606880779,21
418,720575940606892674,1
419,720575940606894722,7
420,720575940606900354,2
421,720575940606920643,7
422,720575940606926466,16
423,720575940606929282,12
424,720575940606958859,0
425,720575940606970377,9
426,720575940606973570,6
427,720575940606979081,1
428,720575940606987906,0
429,720575940607006556,5
430,720575940607008689,16
431,720575940607013897,1
432,720575940607037635,2
433,720575940607037707,5
434,720575940607040881,22
435,720575940607041154,10
436,720575940607054770,1
437,720575940607055061,8
438,720575940607091979,7
439,720575940607122268,0
440,720575940607125771,10
441,720575940607126485,3
442,720575940607152395,1
443,720575940607155890,3
444,720575940607158025,1
445,720575940607168725,7
446,720575940607197874,3
447,720575940607206066,28
448,720575940607225609,1
449,720575940607227826,7
450,720575940607233458,7
451,720575940607233987,0
452,720575940607237810,1
453,720575940607248988,15
454,720575940607254723,26
455,720575940607256259,27
456,720575940607262219,14
457,720575940607272649,2
458,720575940607273906,7
459,720575940607276739,12
